subfolder,audio_dir,status,num_wavs,expected_num_wavs,missing_num_wavs,coverage,clap_score,passt_kld,openl3_fd,started_at_utc,finished_at_utc,duration_sec,note
diff_step_3,/data/liaoyue/tcwbs/output/songdescriber_filtered/diff_step_3,skipped_empty,0,279,279,0.0,,,,2026-04-26T13:21:01.168974+00:00,2026-04-26T13:21:01.169326+00:00,0.0,No .wav files found in this subfolder.
fft_chunk_1_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/fft_chunk_1_step_1,ok,279,279,0,1.0,0.3483603596687317,0.6553261280059814,294.6610283095675,2026-04-26T13:21:01.175106+00:00,2026-04-26T13:40:30.132300+00:00,1168.957,
fft_chunk_3_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/fft_chunk_3_step_1,ok,279,279,0,1.0,0.29364949464797974,0.32387498021125793,398.5117335783434,2026-04-26T13:40:30.136898+00:00,2026-04-26T16:14:48.705122+00:00,9258.568,
fft_chunk_5_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/fft_chunk_5_step_1,ok,279,279,0,1.0,0.2734426259994507,0.3079802393913269,389.58763726596874,2026-04-26T16:14:48.712289+00:00,2026-04-26T20:07:11.746225+00:00,13943.034,
fft_step_3,/data/liaoyue/tcwbs/output/songdescriber_filtered/fft_step_3,ok,279,279,0,1.0,0.34510236978530884,0.6181990504264832,289.7492186887933,2026-04-26T20:07:11.752171+00:00,2026-04-26T20:26:35.437522+00:00,1163.685,
full_loss_chunk_1_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/full_loss_chunk_1_step_1,ok,279,279,0,1.0,0.32908397912979126,0.6931567788124084,304.8304898370401,2026-04-26T20:26:35.442482+00:00,2026-04-26T20:45:55.467205+00:00,1160.025,
full_loss_chunk_1_step_8,/data/liaoyue/tcwbs/output/songdescriber_filtered/full_loss_chunk_1_step_8,ok,279,279,0,1.0,0.32075318694114685,0.7513877749443054,310.27712408692935,2026-04-26T20:45:55.507437+00:00,2026-04-26T21:05:12.852252+00:00,1157.345,
mse_chunk_1_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/mse_chunk_1_step_1,ok,279,279,0,1.0,0.36085712909698486,0.6351044774055481,298.72923364788767,2026-04-26T21:05:12.856858+00:00,2026-04-26T21:24:32.023998+00:00,1159.167,
mse_chunk_3_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/mse_chunk_3_step_1,ok,279,279,0,1.0,0.2942908704280853,0.32352113723754883,398.7938156078816,2026-04-26T21:24:32.028774+00:00,2026-04-26T23:58:46.154942+00:00,9254.126,
mse_chunk_5_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/mse_chunk_5_step_1,ok,279,279,0,1.0,0.28015410900115967,0.3069489598274231,389.13106115555695,2026-04-26T23:58:46.396997+00:00,2026-04-27T03:51:03.245622+00:00,13936.849,
mse_step_3,/data/liaoyue/tcwbs/output/songdescriber_filtered/mse_step_3,ok,279,279,0,1.0,0.33985257148742676,0.6826657652854919,293.11549078033954,2026-04-27T03:51:03.255145+00:00,2026-04-27T04:10:35.338192+00:00,1172.083,
no_streaming_fft_chunk_1_step_1,/data/liaoyue/tcwbs/output/songdescriber_filtered/no_streaming_fft_chunk_1_step_1,ok,279,279,0,1.0,0.3552030324935913,0.6471052765846252,292.1324567525958,2026-04-27T04:10:35.346943+00:00,2026-04-27T04:29:26.952939+00:00,1131.606,
no_streaming_fft_chunk_1_step_2,/data/liaoyue/tcwbs/output/songdescriber_filtered/no_streaming_fft_chunk_1_step_2,ok,279,279,0,1.0,0.3441713750362396,0.7049356698989868,293.9627999588651,2026-04-27T04:29:26.958515+00:00,2026-04-27T04:48:18.959307+00:00,1132.001,
